"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-SAOUHSC_00115",162.471151304088,0.673804068371064,0.469741536644844,1.44159984110106,0.149415293302658,0.53995836534159
"gene-SAOUHSC_00116",30.7357176505282,0.422037418016433,0.469035721546783,0.902924040272566,0.366566210667113,0.744357360246725
"gene-SAOUHSC_00117",54.0431526532578,1.34327261949995,0.424726624864834,3.16895510222569,0.00152988026100612,0.0533383677438912
"gene-SAOUHSC_00118",28.8330715386149,0.0587097462197338,0.457442416088867,0.128183079956377,0.898004089841143,0.985852451550727
"gene-SAOUHSC_00119",60.6569355651701,0.983462804428971,0.445705913947697,2.21369042796841,0.0268500818540415,0.25585314284156
"gene-SAOUHSC_00120",58.9554838544478,1.11638835797787,0.502063578627229,2.26780515921256,0.0233410848237616,0.246218520422962
"gene-SAOUHSC_00121",20.8866270934192,0.434785771098126,0.518924700688235,0.853204241522149,0.393546051656145,0.760116646250414
"gene-SAOUHSC_00122",32.5855445041513,0.773606691136988,0.518842731181689,1.5416504872065,0.123158549833422,0.512243971850248
"gene-SAOUHSC_00123",25.6444595030312,0.47557481646724,0.511685652563133,0.960816996587668,0.336644191050967,0.720242964693007
"gene-SAOUHSC_00124",21.366671844084,1.19267618768366,0.518841909740659,2.43675051453959,0.0148199002032558,0.199873608845527
"gene-SAOUHSC_00125",107.804752837175,0.228025353872837,0.432955192066759,0.527067158751001,0.598146951873758,0.888378364223801
"gene-SAOUHSC_00126",14.1179484389177,0.84253346841586,0.473744333137513,1.78871019644372,0.0736614999836541,0.395627624665475
"gene-SAOUHSC_00127",214.132202425816,0.63084077317063,0.477958179805516,1.32735991875112,0.184389651703422,0.588079466292147
"gene-SAOUHSC_00128",171.580860048864,0.851823732116937,0.473181747353092,1.81340297647502,0.0697696908191687,0.392416077420182
"gene-SAOUHSC_00129",43.2312824549942,0.38521243585399,0.473644792716433,0.81533625624161,0.414879860810111,0.778254041057807
"gene-SAOUHSC_00130",2.70981282955065,0.537078578874113,0.493817078480489,1.123884989989,0.261061819803801,0.660441306909439
"gene-SAOUHSC_00131",2.78327974068791,1.21778488522325,0.518937267142807,2.38871718157284,0.0169073120081792,0.204843538502015
"gene-SAOUHSC_00132",3702.12662232387,-0.655387265900322,0.312043574386105,-2.09943348859698,0.035778705195415,0.283378202033945
"gene-SAOUHSC_00133",65.3438019689397,0.252819171374632,0.391021783443511,0.647401086337625,0.517372393029424,0.848212660806007
"gene-SAOUHSC_00134",49.5653830048324,-0.17802793287743,0.517544501527764,-0.34243337923001,0.73202477217327,0.936427211666926
