"","SRR20959676_GSM6435908_C-PJI04_Staphylococcus_aureus_trimmed_R2","SRR20959677_GSM6435907_C-PJI03_Staphylococcus_aureus_trimmed_R1","SRR20959677_GSM6435907_C-PJI03_Staphylococcus_aureus_trimmed_R2","SRR20959678_GSM6435906_C-PJI02_Staphylococcus_aureus_trimmed_R1","SRR20959678_GSM6435906_C-PJI02_Staphylococcus_aureus_trimmed_R2","SRR20959679_GSM6435905_C-PJI01_Staphylococcus_aureus_trimmed_R1","SRR20959679_GSM6435905_C-PJI01_Staphylococcus_aureus_trimmed_R2","SRR20959680_GSM6435904_A-PJI04_Staphylococcus_aureus_trimmed_R1","SRR20959680_GSM6435904_A-PJI04_Staphylococcus_aureus_trimmed_R2","SRR20959681_GSM6435903_A-PJI03_Staphylococcus_aureus_trimmed_R1","SRR20959681_GSM6435903_A-PJI03_Staphylococcus_aureus_trimmed_R2","SRR20959682_GSM6435902_A-PJI02_Staphylococcus_aureus_trimmed_R1"
"gene-SAOUHSC_01723",4.84214799435072,5.21920394289106,5.96135036441716,5.21578000326828,6.10240768689765,4.26018283620463,4.74504764525888,3.86104480014619,4.47505843123992,4.46509261267787,4.87423185082548,4.64098456906021
"gene-SAOUHSC_01724",3.37134560860125,3.79627112960395,4.22830156595527,3.43214455742864,3.41213508582793,2.06878226500577,2.06878226500577,2.70031371626588,3.30140824234547,2.06878226500577,2.06878226500577,3.33645854056697
"gene-SAOUHSC_01727",7.29679833857259,5.73300302297983,5.85223225409087,6.10102658881418,6.0816670445414,6.83932087048156,6.84937590181185,7.01284601706644,7.01618778906974,7.17270273450776,7.13672649136857,7.45618736933553
"gene-SAOUHSC_01728",7.86778699086114,6.2013609080069,6.48371969249244,3.82898021941986,4.54015397400442,7.3712750089657,7.38632381289503,7.81755118096519,7.81162693253264,6.22969790092408,6.16354233613699,6.00690190888132
"gene-SAOUHSC_01730",2.93758232796061,2.06878226500577,2.06878226500577,2.06878226500577,2.06878226500577,2.06878226500577,2.78657514708873,2.06878226500577,2.06878226500577,3.9090853104463,2.06878226500577,2.06878226500577
"gene-SAOUHSC_01734",7.40760171122504,6.55374762388167,6.62271726241181,6.01329204304994,6.03926190750346,8.35382565660295,8.3456825875609,7.44381820705664,7.43117185523729,6.67049067491613,6.68631676412914,8.0088049465301
"gene-SAOUHSC_01735",6.23995305422744,7.4157072852324,7.43585735391386,5.09147088605957,5.29298419952736,5.01293397134497,5.14801427808411,5.70492466530981,5.67678361352217,6.0945258301542,6.09676440395556,5.45201404108526
"gene-SAOUHSC_01736",3.06717203439308,5.12778343521956,3.10486155761016,3.93627703910677,2.06878226500577,2.78743812217524,2.06878226500577,3.30388844613831,2.06878226500577,2.06878226500577,2.06878226500577,3.01820889575223
"gene-SAOUHSC_01737",6.04744956679444,5.12778343521956,5.03095334375318,6.5378014901267,6.644607804034,5.83205364831005,5.8290013030827,5.18972028694474,5.18484091477763,5.44830601712189,5.44373698501144,6.41627441485473
"gene-SAOUHSC_01738",3.6736264911407,4.22750356478632,4.22830156595527,3.58033186783366,3.68782368848842,2.78743812217524,2.06878226500577,2.06878226500577,2.06878226500577,2.80448087298327,3.08155736832759,3.62007796457426
"gene-SAOUHSC_01739",5.86453377811875,7.3573106209263,6.71879938482379,6.45712323534469,5.927400776833,6.12466656380793,5.38868474332018,6.98517823719691,6.21012633099859,6.44860090386235,6.00258757368375,7.58212297170979
"gene-SAOUHSC_01741",9.07096274779339,9.1723384309013,9.27172593016228,6.67250518569439,6.9140734659387,8.37707331365784,8.41902112552635,9.25738165857095,9.33000304771867,8.61414346992705,8.66817626621047,8.7149296606862
"gene-SAOUHSC_01742",7.64471691953034,8.31041895923688,8.36203465878799,6.01329204304994,6.31269683409051,8.34442064280405,8.35505645940458,8.31619036832564,8.32857130516603,7.85349608066434,7.85990702773786,8.48396762804234
"gene-SAOUHSC_01743",2.93758232796061,4.22750356478632,3.79694590453581,3.71123585042146,3.24204606071223,2.06878226500577,2.06878226500577,3.30388844613831,3.30140824234547,2.06878226500577,2.06878226500577,3.880643632972
"gene-SAOUHSC_01744",4.70082926630653,5.21920394289106,5.85223225409087,5.36608946341194,5.46403634815468,3.75053003696524,6.14340893132527,4.68231150658749,5.65350000542446,4.85622355667433,5.02767418755581,4.94173628031691
"gene-SAOUHSC_01746",5.79795884984507,5.79329656524472,5.90783283455326,6.35391681545252,6.31269683409051,5.65967951872437,5.65668409675563,5.95460246594042,5.98689211257313,6.55528174983744,6.49248637671859,5.60057769752841
"gene-SAOUHSC_01748",7.06283073777905,7.84195930975718,7.78525204409353,6.42353873600028,6.51162909582945,6.72785455336727,6.76739684065365,7.10141070376193,7.08701356940474,7.39935437695426,7.32304147587617,6.24124379857396
"gene-SAOUHSC_01749",4.15852236867752,4.03023732252689,3.79694590453581,5.36608946341194,4.60136750310951,4.55981236096477,4.33932286336646,4.10159387690393,3.85765337013832,4.7378533727906,4.76160352567928,4.35036382860916
"gene-SAOUHSC_01750",5.25719113171172,5.02998124385936,4.5514161372557,7.04766053753029,6.8172762130438,5.35419792938568,4.68530114988495,5.05232314142264,4.7242072904438,6.021833524741,5.79329347457741,5.94178904748172
"gene-SAOUHSC_01751",5.2167017750605,6.4825740182606,6.44676242890976,6.55340736698516,6.57225451733167,5.65967951872437,5.46058013030757,5.401941763371,5.33949681849139,5.33212446326503,5.61333358670399,5.89667205042
"gene-SAOUHSC_01752",4.01691184634702,4.55053978281556,4.81193635648254,5.17555464704116,4.96697161550159,5.06041696863061,5.01021016795167,4.30392479416546,4.47505843123992,3.49711999767242,3.47439555608005,3.91365688498423
"gene-SAOUHSC_01753",5.65468825875086,4.03023732252689,4.92575878891458,5.17555464704116,5.32889139248099,5.91101058949365,6.12153009750965,5.401941763371,5.45207250269597,5.55567454150265,5.51402630063938,6.102641995155
"gene-SAOUHSC_01755",5.77043393964771,5.85114429806183,4.22830156595527,5.43564084559896,4.09873108783263,6.1024424451675,5.68689023160479,5.85582048311756,4.7242072904438,5.94524913859476,5.64495141398547,6.40023890629662
"gene-SAOUHSC_01756",6.21979720811525,6.4825740182606,6.20248362504775,6.40644724434968,6.14300900083266,6.50921851844489,6.40106805738927,6.54151106573,6.2723587432512,5.99675832824692,5.84856199737388,6.89164861158696
"gene-SAOUHSC_01757",5.82496264949235,5.02998124385936,6.11084387137016,4.212114862109,5.83114657909404,5.46350337461682,6.3643173869639,4.93961606485205,5.98689211257313,5.16064811940387,5.92764896880656,5.68278793813508
"gene-SAOUHSC_01758",6.67662863265127,6.44561954574236,6.77946338062752,6.42353873600028,6.54226152926569,4.96377730649046,5.42508886988486,4.30392479416546,4.67789185740277,5.86432789814998,5.87541387928763,4.50350026952257
"gene-SAOUHSC_01759",6.23995305422744,5.67004490356512,6.28861483445086,4.90641264741395,5.36390780685832,4.49095745921361,4.85727622027147,3.94647819802896,4.29993258198336,4.67461301734272,5.67588174876258,4.98606860135713
"gene-SAOUHSC_01760",4.40241909223171,4.81100509024062,3.79694590453581,6.78248793153511,4.18339466880845,2.06878226500577,2.06878226500577,2.95504881649884,2.69899025139293,4.12211989852118,3.08155736832759,4.67784095826378
"gene-SAOUHSC_01761",5.0419493216623,5.02998124385936,5.38698528769603,6.79566277235088,6.8297380132201,2.78743812217524,3.07394312994191,2.95504881649884,2.69899025139293,4.67461301734272,4.63891912183042,4.54422579566259
